City_Id,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Windspeed,Date
197,izhma,RU,65.01,53.91,33.84,96,100,8.93,1607372334
198,jaffrey,US,42.81,-72.02,28.99,63,75,9.17,1607372318
199,jamestown,US,42.1,-79.24,30,73,75,12.75,1607372316
200,kaeo,NZ,-35.1,173.78,71.01,84,95,7,1607372413
201,kahului,US,20.89,-156.47,78.8,57,40,5.82,1607372369
202,kaitangata,NZ,-46.28,169.85,62.01,65,0,5.01,1607372369
203,kajaani,FI,64.23,27.73,28.4,86,0,8.05,1607372436
204,kangaatsiaq,GL,68.31,-53.46,24.39,97,100,12.71,1607372357
205,kapaa,US,22.08,-159.32,79,83,20,13.87,1607372237
206,kapit,MY,2.02,112.93,74.71,95,92,0.67,1607372315
207,kapuskasing,CA,49.42,-82.43,19.4,92,98,2.24,1607372386
208,karratha,AU,-20.74,116.85,79.47,69,64,17.16,1607372391
209,katsuura,JP,35.13,140.3,59,77,20,12.75,1607372312
210,kavaratti,IN,10.57,72.64,82.42,78,76,14.45,1607372313
211,kavarna,BG,43.43,28.33,42.8,81,90,16.11,1607372410
212,kavieng,PG,-2.57,150.8,83.23,74,44,8.99,1607372362
213,khandyga,RU,62.67,135.6,-15.74,89,99,1.34,1607372416
214,kharan,PK,28.58,65.42,61.83,60,87,5.93,1607372405
215,khatanga,RU,71.97,102.5,-12.08,90,100,3.6,1607372310
216,kiama,AU,-34.68,150.87,62.01,56,19,8.99,1607372437
217,kibungo,RW,-2.16,30.54,66.2,82,40,2.24,1607372380
218,kijang,KR,35.24,129.21,37.4,55,0,10.29,1607372371
219,kingsland,US,30.8,-81.69,64.99,55,0,5.01,1607372363
220,kirakira,SB,-10.45,161.92,80.91,78,100,1.72,1607372381
221,kisanga,TZ,-7.44,37.7,77.14,77,2,7.18,1607372425
222,kisiwani,TZ,-4.13,37.95,70.92,84,2,1.79,1607372424
223,kiunga,PG,-6.12,141.29,73.04,98,95,0.92,1607372317
224,klaksvik,FO,62.23,-6.59,39.2,69,92,11.41,1607372306
225,kodiak,US,57.79,-152.41,37.4,93,90,4.7,1607372243
226,kolyubakino,RU,55.67,36.53,17.6,78,0,6.71,1607372365
227,komsomolskiy,UZ,40.43,71.72,32,90,90,2.37,1607372356
228,korla,CN,41.76,86.15,23.32,88,100,3.67,1607372337
229,kourou,GF,5.16,-52.65,86,66,40,11.41,1607372367
230,krasnovishersk,RU,60.41,57.08,21.78,97,100,5.35,1607372343
231,krasnyy chikoy,RU,50.36,108.75,-4.45,86,1,2.59,1607372424
232,kruisfontein,ZA,-34,24.73,71.01,88,30,5.99,1607372372
233,kuah,MY,6.33,99.84,80.6,78,20,4.7,1607372369
234,kulhudhuffushi,MV,6.62,73.07,81.99,79,100,11.99,1607372321
235,kununurra,AU,-15.77,128.73,80.6,83,90,4.7,1607372410
236,kutum,SD,14.2,24.67,66.31,26,0,9.84,1607372332
237,kuybysheve,UA,47.36,36.65,21.16,88,4,21.43,1607372408
238,kyren,RU,51.68,102.14,9.72,81,100,2.01,1607372393
239,la palma,US,33.85,-118.05,73,42,1,2.93,1607372437
240,la ronge,CA,55.1,-105.28,44.6,42,100,6.93,1607372441
241,lapua,FI,62.97,23.01,28,91,29,1.01,1607372411
242,lata,PT,40.16,-8.33,59,76,40,12.75,1607372329
243,lavrentiya,RU,65.58,-171,14.81,86,0,8.99,1607372319
244,lazaro cardenas,MX,17.96,-102.2,83.05,62,40,7.47,1607372382
245,lebu,CL,-37.62,-73.65,59.13,73,32,9.75,1607372406
246,lengshuijiang,CN,27.69,111.43,43.61,76,100,3.09,1607372175
247,leningradskiy,RU,69.38,178.42,10.17,87,87,3.87,1607372394
248,lerwick,GB,60.15,-1.15,44.6,93,75,16.11,1607372423
249,lesnoy,RU,57.62,63.08,18.73,97,35,7.67,1607372344
250,levice,SK,48.22,18.61,41,94,99,4,1607372326
251,lima,PE,-12.04,-77.03,71.6,68,75,12.75,1607372308
252,limbang,MY,4.75,115,77,94,75,1.12,1607372387
253,lingao,CN,19.91,109.69,65.07,72,11,7.87,1607372421
254,lishu,CN,43.3,124.33,8.67,92,0,8.1,1607372395
255,lithakia,GR,37.72,20.83,57.2,93,75,16.24,1607372240
256,lodja,CD,-3.48,23.43,71.37,94,83,1.28,1607372436
257,lompoc,US,34.64,-120.46,77,30,1,3.15,1607372409
258,longyearbyen,SJ,78.22,15.64,21.2,73,40,16.11,1607372355
259,lorengau,PG,-2.02,147.27,82.45,72,100,4.99,1607372349
260,los llanos de aridane,ES,28.66,-17.92,64.4,72,40,11.41,1607372357
